person_name,expense_date,payment_account,merchant_name,merchant_description_text,actual_expense_amount,budgeted_expense_amount,expense_description_text,expense_category,account_running_balance,adjusted_actual_amount,adjusted_budgeted_amount,calculation_complexity_score,calculation_type,requires_manual_review,calculation_notes,source_system,source_file,processing_timestamp,data_version,normalization_method,expense_uuid,fiscal_year,fiscal_month,fiscal_quarter,is_complex_calculation,has_allocation_adjustment,is_split_transaction,is_complete_record,data_quality_score
Ryan,10/3/2023,Mercury,Amazon,,22.57,,Tests,,,22.57,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000054,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
Ryan,10/10/2023,Mercury,Amazon,,86.39,,Refund,,,86.39,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000055,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
Ryan,10/13/2023,Mercury,Amazon,,150,,Refund,,,150,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000056,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
Ryan,10/13/2023,Mercury,Amazon,,50,,Refund,,,50,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000057,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
Ryan,10/13/2023,Mercury,Walmart,,34.46,34.46,Ink,,,34.46,34.46,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000058,2023,10,4,FALSE,FALSE,FALSE,TRUE,60
Ryan,10/17/2023,Mercury,Amazon,,1185.3,600,TV,,,1185.3,600,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000059,2023,10,4,FALSE,FALSE,FALSE,TRUE,60
Ryan,10/18/2023,Mercury,Amazon,,5.93,,Brush,,,5.93,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000060,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
Ryan,10/18/2023,Mercury,Amazon,,15.55,,Retainer Brite Tablets,,,15.55,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000061,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
Ryan,10/18/2023,Mercury,Amazon,,22.46,,Mouthwash,,,22.46,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000062,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
Ryan,10/1/2023,Wells Fargo,Koi Poke,,52.6,52.6,,,,52.6,52.6,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000063,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
Ryan,10/9/2023,Wells Fargo,Tocaya,,39.85,39.85,,,,39.85,39.85,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000064,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
Ryan,10/12/2023,Wells Fargo,Walmart,,50.1,,Gas,,,50.1,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000065,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
Ryan,10/14/2023,Wells Fargo,Trader Joe's,,32.38,32.38,,,,32.38,32.38,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000066,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
Ryan,9/23/2023,Capital One Quiksilver,DoorDash,,61.28,,Water & Wine,,,61.28,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000067,2023,9,3,FALSE,FALSE,FALSE,TRUE,40
Ryan,10/14/2023,Capital One Quiksilver,DoorDash,,48.56,48.56,Water & Tito's,,,48.56,48.56,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000068,2023,10,4,FALSE,FALSE,FALSE,TRUE,60
Ryan,10/16/2023,Capital One Quiksilver,DoorDash,,18.01,,CB & CB,,,18.01,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000069,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
Ryan,9/30/2023,Capital One Savor One,Fry's,,43.4,43.4,Wine,,,43.4,43.4,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000070,2023,9,3,FALSE,FALSE,FALSE,TRUE,60
Ryan,10/6/2023,Capital One Savor One,Fry's,,14.33,,"10/04 Order (Split $14.33 2463 / $29.06 EBT) Oikos, Beef Jerky, Sponges and Water",,,14.33,,4,split_transaction,FALSE,Mathematical operation: 10/04; Mathematical operation: (Split $14.33 2463 / $29.06 EBT); Split transaction: Split $14.33 2463 / $29.06 EBT,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000071,2023,10,4,TRUE,FALSE,TRUE,TRUE,40
Ryan,10/6/2023,Capital One Savor One,Fry's,,11.09,11.09,3 Seltzers,,,11.09,11.09,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000072,2023,10,4,FALSE,FALSE,FALSE,TRUE,60
Ryan,10/11/2023,Capital One Savor One,Fry's,,139.49,139.49,10/09 Order (Split $139.49 2463 / $76.25 EBT),,,139.49,139.49,4,split_transaction,FALSE,Mathematical operation: 10/09; Mathematical operation: (Split $139.49 2463 / $76.25 EBT); Split transaction: Split $139.49 2463 / $76.25 EBT,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000073,2023,10,4,TRUE,FALSE,TRUE,TRUE,60
Ryan,10/17/2023,Capital One Savor One,Fry's,,22.16,,Sushi,,,22.16,,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000074,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
Ryan,10/1/2023,EBT,Fry's,,147.66,147.66,10/01 Order,,,147.66,147.66,1,simple,FALSE,Mathematical operation: 10/01,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000075,2023,10,4,FALSE,FALSE,FALSE,TRUE,60
Ryan,10/1/2023,EBT,Fry's,,39.3,39.3,"10/01 Order Amendment - Chicken tender, Pizza, Luna Bars",,,39.3,39.3,1,simple,FALSE,Mathematical operation: 10/01,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000076,2023,10,4,FALSE,FALSE,FALSE,TRUE,60
Ryan,10/4/2023,EBT,Fry's,,29.06,29.06,"10/04 Order (Split $14.33 2463 / $29.06 EBT) Oikos, Beef Jerky, Sponges and Water",,,29.06,29.06,4,split_transaction,FALSE,Mathematical operation: 10/04; Mathematical operation: (Split $14.33 2463 / $29.06 EBT); Split transaction: Split $14.33 2463 / $29.06 EBT,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000077,2023,10,4,TRUE,FALSE,TRUE,TRUE,60
Ryan,10/9/2023,EBT,Fry's,,76.27,76.27,10/09 Order (Split $139.49 2463 / $76.25 EBT),,,76.27,76.27,4,split_transaction,FALSE,Mathematical operation: 10/09; Mathematical operation: (Split $139.49 2463 / $76.25 EBT); Split transaction: Split $139.49 2463 / $76.25 EBT,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000078,2023,10,4,TRUE,FALSE,TRUE,TRUE,60
Ryan,10/16/2023,EBT,Fry's,,177.03,177.03,10/16 Order (Split $138.76 4296 / 177.03 EBT),,,177.03,177.03,5,split_transaction,FALSE,Mathematical operation: 10/16; Mathematical operation: 4296 / 177.03; Mathematical operation: (Split $138.76 4296 / 177.03 EBT); Split transaction: Split $138.76 4296 / 177.03 EBT,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000079,2023,10,4,TRUE,FALSE,TRUE,TRUE,60
Ryan,10/6/2023,Apple,Bro,,225,225,,,,225,225,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000080,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
Ryan,10/2/2023,Wells Fargo Checking,Ethan,,220,220,,,,220,220,0,simple,FALSE,,expense_history_csv,Consolidated_Expense_History_20250622.csv,2025-07-18T12:32:53.413399,3,advanced_calculations_v3,exp_v3_000081,2023,10,4,FALSE,FALSE,FALSE,TRUE,40
